Class; Value; Class start; Class end;
1;236;0.000002182754;0.000425905636;
2;248;0.000425905636;0.000849628518;
3;354;0.000849628518;0.001273351400;
4;389;0.001273351400;0.001697074282;
5;402;0.001697074282;0.002120797164;
6;525;0.002120797164;0.002544520046;
7;581;0.002544520046;0.002968242928;
8;692;0.002968242928;0.003391965810;
9;775;0.003391965810;0.003815688692;
10;868;0.003815688692;0.004239411574;
11;890;0.004239411574;0.004663134456;
12;773;0.004663134456;0.005086857338;
13;758;0.005086857338;0.005510580220;
14;763;0.005510580220;0.005934303102;
15;657;0.005934303102;0.006358025984;
16;617;0.006358025984;0.006781748866;
17;633;0.006781748866;0.007205471749;
18;550;0.007205471749;0.007629194631;
19;485;0.007629194631;0.008052917513;
20;474;0.008052917513;0.008476640395;
21;471;0.008476640395;0.008900363277;
22;417;0.008900363277;0.009324086159;
23;448;0.009324086159;0.009747809041;
24;449;0.009747809041;0.010171531923;
25;505;0.010171531923;0.010595254805;
26;491;0.010595254805;0.011018977687;
27;476;0.011018977687;0.011442700569;
28;455;0.011442700569;0.011866423451;
29;399;0.011866423451;0.012290146333;
30;396;0.012290146333;0.012713869215;
31;392;0.012713869215;0.013137592097;
32;432;0.013137592097;0.013561314979;
33;406;0.013561314979;0.013985037861;
34;397;0.013985037861;0.014408760743;
35;409;0.014408760743;0.014832483625;
36;408;0.014832483625;0.015256206508;
37;346;0.015256206508;0.015679929390;
38;302;0.015679929390;0.016103652272;
39;360;0.016103652272;0.016527375154;
40;334;0.016527375154;0.016951098036;
41;351;0.016951098036;0.017374820918;
42;309;0.017374820918;0.017798543800;
43;305;0.017798543800;0.018222266682;
44;294;0.018222266682;0.018645989564;
45;340;0.018645989564;0.019069712446;
46;315;0.019069712446;0.019493435328;
47;327;0.019493435328;0.019917158210;
48;278;0.019917158210;0.020340881092;
49;262;0.020340881092;0.020764603974;
50;295;0.020764603974;0.021188326856;
51;274;0.021188326856;0.021612049738;
52;313;0.021612049738;0.022035772620;
53;275;0.022035772620;0.022459495502;
54;264;0.022459495502;0.022883218384;
55;290;0.022883218384;0.023306941267;
56;291;0.023306941267;0.023730664149;
57;312;0.023730664149;0.024154387031;
58;326;0.024154387031;0.024578109913;
59;295;0.024578109913;0.025001832795;
60;261;0.025001832795;0.025425555677;
61;304;0.025425555677;0.025849278559;
62;294;0.025849278559;0.026273001441;
63;314;0.026273001441;0.026696724323;
64;337;0.026696724323;0.027120447205;
65;308;0.027120447205;0.027544170087;
66;313;0.027544170087;0.027967892969;
67;364;0.027967892969;0.028391615851;
68;406;0.028391615851;0.028815338733;
69;415;0.028815338733;0.029239061615;
70;391;0.029239061615;0.029662784497;
71;421;0.029662784497;0.030086507379;
72;377;0.030086507379;0.030510230261;
73;438;0.030510230261;0.030933953143;
74;400;0.030933953143;0.031357676026;
75;427;0.031357676026;0.031781398908;
76;410;0.031781398908;0.032205121790;
77;401;0.032205121790;0.032628844672;
78;334;0.032628844672;0.033052567554;
79;303;0.033052567554;0.033476290436;
80;255;0.033476290436;0.033900013318;
81;166;0.033900013318;0.034323736200;
82;158;0.034323736200;0.034747459082;
83;137;0.034747459082;0.035171181964;
84;121;0.035171181964;0.035594904846;
85;95;0.035594904846;0.036018627728;
86;89;0.036018627728;0.036442350610;
87;89;0.036442350610;0.036866073492;
88;72;0.036866073492;0.037289796374;
89;69;0.037289796374;0.037713519256;
90;60;0.037713519256;0.038137242138;
91;53;0.038137242138;0.038560965020;
92;48;0.038560965020;0.038984687902;
93;49;0.038984687902;0.039408410784;
94;63;0.039408410784;0.039832133667;
95;51;0.039832133667;0.040255856549;
96;60;0.040255856549;0.040679579431;
97;43;0.040679579431;0.041103302313;
98;34;0.041103302313;0.041527025195;
99;44;0.041527025195;0.041950748077;
100;31;0.041950748077;0.042374470959;
101;38;0.042374470959;0.042798193841;
102;34;0.042798193841;0.043221916723;
103;39;0.043221916723;0.043645639605;
104;29;0.043645639605;0.044069362487;
105;32;0.044069362487;0.044493085369;
106;32;0.044493085369;0.044916808251;
107;30;0.044916808251;0.045340531133;
108;29;0.045340531133;0.045764254015;
109;22;0.045764254015;0.046187976897;
110;28;0.046187976897;0.046611699779;
111;29;0.046611699779;0.047035422661;
112;28;0.047035422661;0.047459145543;
113;26;0.047459145543;0.047882868426;
114;20;0.047882868426;0.048306591308;
115;9;0.048306591308;0.048730314190;
116;20;0.048730314190;0.049154037072;
117;14;0.049154037072;0.049577759954;
118;24;0.049577759954;0.050001482836;
119;10;0.050001482836;0.050425205718;
120;10;0.050425205718;0.050848928600;
121;15;0.050848928600;0.051272651482;
122;18;0.051272651482;0.051696374364;
123;11;0.051696374364;0.052120097246;
124;11;0.052120097246;0.052543820128;
125;13;0.052543820128;0.052967543010;
126;11;0.052967543010;0.053391265892;
127;9;0.053391265892;0.053814988774;
128;15;0.053814988774;0.054238711656;
129;9;0.054238711656;0.054662434538;
130;7;0.054662434538;0.055086157420;
131;12;0.055086157420;0.055509880302;
132;9;0.055509880302;0.055933603185;
133;9;0.055933603185;0.056357326067;
134;6;0.056357326067;0.056781048949;
135;10;0.056781048949;0.057204771831;
136;7;0.057204771831;0.057628494713;
137;7;0.057628494713;0.058052217595;
138;9;0.058052217595;0.058475940477;
139;10;0.058475940477;0.058899663359;
140;9;0.058899663359;0.059323386241;
141;10;0.059323386241;0.059747109123;
142;2;0.059747109123;0.060170832005;
143;9;0.060170832005;0.060594554887;
144;10;0.060594554887;0.061018277769;
145;5;0.061018277769;0.061442000651;
146;6;0.061442000651;0.061865723533;
147;4;0.061865723533;0.062289446415;
148;4;0.062289446415;0.062713169297;
149;2;0.062713169297;0.063136892179;
150;5;0.063136892179;0.063560615061;
151;6;0.063560615061;0.063984337944;
152;7;0.063984337944;0.064408060826;
153;4;0.064408060826;0.064831783708;
154;10;0.064831783708;0.065255506590;
155;4;0.065255506590;0.065679229472;
156;5;0.065679229472;0.066102952354;
157;5;0.066102952354;0.066526675236;
158;3;0.066526675236;0.066950398118;
159;5;0.066950398118;0.067374121000;
160;4;0.067374121000;0.067797843882;
161;3;0.067797843882;0.068221566764;
162;3;0.068221566764;0.068645289646;
163;9;0.068645289646;0.069069012528;
164;8;0.069069012528;0.069492735410;
165;0;0.069492735410;0.069916458292;
166;6;0.069916458292;0.070340181174;
167;1;0.070340181174;0.070763904056;
168;2;0.070763904056;0.071187626938;
169;1;0.071187626938;0.071611349820;
170;5;0.071611349820;0.072035072703;
171;0;0.072035072703;0.072458795585;
172;5;0.072458795585;0.072882518467;
173;3;0.072882518467;0.073306241349;
174;5;0.073306241349;0.073729964231;
175;4;0.073729964231;0.074153687113;
176;3;0.074153687113;0.074577409995;
177;1;0.074577409995;0.075001132877;
178;1;0.075001132877;0.075424855759;
179;2;0.075424855759;0.075848578641;
180;2;0.075848578641;0.076272301523;
181;2;0.076272301523;0.076696024405;
182;1;0.076696024405;0.077119747287;
183;3;0.077119747287;0.077543470169;
184;1;0.077543470169;0.077967193051;
185;1;0.077967193051;0.078390915933;
186;3;0.078390915933;0.078814638815;
187;2;0.078814638815;0.079238361697;
188;1;0.079238361697;0.079662084579;
